Privatelinkresourcetype/Subresource,PrivateDNSzonename,PublicDNSzoneforwarders
Azure Kubernetes Service - Kubernetes API (Microsoft.ContainerService/managedClusters) / management,privatelink.{region}.azmk8s.io,{region}.azmk8s.io
Azure Search (Microsoft.Search/searchServices) / searchService,privatelink.search.windows.net,search.windows.net
Azure Container Registry (Microsoft.ContainerRegistry/registries) / registry,privatelink.azurecr.io,azurecr.io
Azure App Configuration (Microsoft.AppConfiguration/configurationStores) / configurationStores,privatelink.azconfig.io,azconfig.io
Azure Backup (Microsoft.RecoveryServices/vaults) / AzureBackup,privatelink.{region}.backup.windowsazure.com,{region}.backup.windowsazure.com
Azure Site Recovery (Microsoft.RecoveryServices/vaults) / AzureSiteRecovery,privatelink.siterecovery.windowsazure.com,{region}.hypervrecoverymanager.windowsazure.com
Azure Event Hubs (Microsoft.EventHub/namespaces) / namespace,privatelink.servicebus.windows.net,servicebus.windows.net
Azure Service Bus (Microsoft.ServiceBus/namespaces) / namespace,privatelink.servicebus.windows.net,servicebus.windows.net
Azure IoT Hub (Microsoft.Devices/IotHubs) / iotHub,privatelink.azure-devices.net,azure-devices.net
Azure IoT Hub (Microsoft.Devices/IotHubs) / iotHub,privatelink.servicebus.windows.net1,servicebus.windows.net
Azure Relay (Microsoft.Relay/namespaces) / namespace,privatelink.servicebus.windows.net,servicebus.windows.net
Azure Event Grid (Microsoft.EventGrid/topics) / topic,privatelink.eventgrid.azure.net,eventgrid.azure.net
Azure Event Grid (Microsoft.EventGrid/domains) / domain,privatelink.eventgrid.azure.net,eventgrid.azure.net
Azure Web Apps (Microsoft.Web/sites) / sites,privatelink.azurewebsites.net,azurewebsites.net
Azure Machine Learning (Microsoft.MachineLearningServices/workspaces) / amlworkspace,privatelink.api.azureml.ms,api.azureml.ms
Azure Machine Learning (Microsoft.MachineLearningServices/workspaces) / amlworkspace,privatelink.notebooks.azure.net,notebooks.azure.net
Azure Machine Learning (Microsoft.MachineLearningServices/workspaces) / amlworkspace,privatelink.notebooks.azure.net,instances.azureml.ms
Azure Machine Learning (Microsoft.MachineLearningServices/workspaces) / amlworkspace,privatelink.notebooks.azure.net,aznbcontent.net
SignalR (Microsoft.SignalRService/SignalR) / signalR,privatelink.service.signalr.net,service.signalr.net
Azure Monitor (Microsoft.Insights/privateLinkScopes) / azuremonitor,privatelink.monitor.azure.com,monitor.azure.com
Azure Monitor (Microsoft.Insights/privateLinkScopes) / azuremonitor,privatelink.oms.opinsights.azure.com,oms.opinsights.azure.com
Azure Monitor (Microsoft.Insights/privateLinkScopes) / azuremonitor,privatelink.ods.opinsights.azure.com,ods.opinsights.azure.com
Azure Monitor (Microsoft.Insights/privateLinkScopes) / azuremonitor,privatelink.agentsvc.azure-automation.net,agentsvc.azure-automation.net
Azure Monitor (Microsoft.Insights/privateLinkScopes) / azuremonitor,privatelink.blob.core.windows.net,blob.core.windows.net
Cognitive Services (Microsoft.CognitiveServices/accounts) / account,privatelink.cognitiveservices.azure.com,cognitiveservices.azure.com
Azure File Sync (Microsoft.StorageSync/storageSyncServices) / afs,privatelink.afs.azure.net,afs.azure.net
Azure Data Factory (Microsoft.DataFactory/factories) / dataFactory,privatelink.datafactory.azure.net,datafactory.azure.net
Azure Data Factory (Microsoft.DataFactory/factories) / portal,privatelink.adf.azure.com,adf.azure.com
Azure Cache for Redis (Microsoft.Cache/Redis) / redisCache,privatelink.redis.cache.windows.net,redis.cache.windows.net
Azure Cache for Redis Enterprise (Microsoft.Cache/RedisEnterprise) / redisEnterprise,privatelink.redisenterprise.cache.azure.net,redisenterprise.cache.azure.net
Azure Purview (Microsoft.Purview) / account,privatelink.purview.azure.com,purview.azure.com
Azure Purview (Microsoft.Purview) / portal,privatelink.purviewstudio.azure.com,purview.azure.com
Azure Digital Twins (Microsoft.DigitalTwins) / digitalTwinsInstances,privatelink.digitaltwins.azure.net,digitaltwins.azure.net
Azure HDInsight (Microsoft.HDInsight),privatelink.azurehdinsight.net,azurehdinsight.net
Azure Arc (Microsoft.HybridCompute) / hybridcompute,privatelink.his.arc.azure.com,his.arc.azure.com
Azure Arc (Microsoft.HybridCompute) / hybridcompute,privatelink.guestconfiguration.azure.com,guestconfiguration.azure.com
"Azure Media Services (Microsoft.Media) / keydelivery, liveevent, streamingendpoint",privatelink.media.azure.net,media.azure.net
